timestamp,cpu_usr,cpu_sys,cpu_iowait,cpu_steal,cpu_idle,network_ifutil,memory_memused,memory_commit,disk_util,paging_vmeff
2.54,10.52,0.63,8.5,0.08,80.22,0,98.97,74.18,4,100
2.55,7.1,0.74,33.79,0.28,57.97,0,99.04,74.13,0.88,0
2.56,11.81,0.55,7.39,0.1,80.1,0,98.98,74.07,0.64,0
2.57,7.11,1.05,30.49,0.31,60.91,0,98.91,74,4.08,100
2.58,15.46,0.74,37.41,0.26,46.03,0,98.8,74.13,0,0
2.59,15.02,0.66,28.53,0.23,55.46,0.1,98.91,73.85,0.32,0
2.6,14.26,0.08,0,0,85.67,0,98.91,73.85,0,0
2.61,14.34,0.74,23.76,0.15,60.9,0.01,98.81,74.03,11.44,100
2.62,13.87,0.74,35.82,0.28,49.21,0,98.86,73.9,1.52,0
2.63,7.66,0.59,40.65,0.34,50.63,0.29,98.9,73.9,0.16,0
2.64,8.3,0.56,40.01,0.23,50.82,5.76,98.8,73.66,0.08,0
2.65,22.17,0.36,22.81,0.15,54.41,4.23,98.81,73.63,0.16,0
2.66,6.62,0.43,11.41,0.1,81.39,0,98.98,73.4,8,98.61
2.67,5.68,0.82,32.04,0.26,61.11,0,98.99,73.35,4.08,100
2.68,12.22,0.53,5.95,0.1,81.13,0,98.82,73.59,1.44,0
2.69,10.43,0.87,31.59,0.28,56.65,0,98.91,73.59,4.88,100
2.7,14.3,0.86,16.48,0.2,68.07,2.2,98.92,73.8,0.08,0
2.71,0.78,0.1,0.03,0,99.1,0.12,98.91,73.8,0.08,0
2.72,13.89,0.08,0,0.03,86.01,0.02,98.91,73.8,0,0
2.73,19.19,0.48,20.99,0.15,59.08,0.01,98.95,73.97,4.08,98.58
2.74,5.73,0.54,37.56,0.23,55.84,0,98.83,73.82,31.04,98.82
2.75,14.19,0.79,39.75,0.33,44.8,0,98.98,73.84,0,0
2.76,14.24,0.64,34.05,0.26,50.73,0,98.88,73.66,0.16,0
2.77,15.45,0.2,0,0.03,84.27,0.12,98.84,73.66,0.56,0
2.78,7.37,0.13,0.03,0.03,92.43,0,98.8,73.71,0.16,0
2.79,2.61,0.2,0.65,0.03,96.51,0,98.94,73.76,0.48,0
2.8,7.55,1.02,41.66,0.31,49.31,0,99.02,73.65,3.6,100
2.81,9.43,0.38,5.32,0.08,84.77,0,98.88,73.78,3.04,0
2.82,11.94,1.08,31.89,0.31,54.64,0,98.97,73.72,1.52,0
2.83,6.06,0.4,4.22,0.13,89.14,0,99.03,73.67,0.96,0
2.84,13.45,0.79,22.61,0.23,62.82,0,98.88,73.67,1.52,100
2.85,26.23,0.4,2.06,0.05,71.16,0.16,98.9,73.62,4.88,100
2.86,7.22,0.64,35.47,0.23,56.34,0,98.83,73.45,2.48,0
2.87,11.09,0.73,12.6,0.15,75.35,0,98.97,73.39,1.12,0
2.88,18.28,1.86,20.24,0.2,59.28,0,99.01,73.64,8.48,99.28
2.89,10.65,0.72,37.53,0.28,50.69,0,98.75,73.65,0,0
2.9,8.46,0.35,7.05,0.1,84.01,0.11,98.9,73.67,0.24,0
2.91,15.37,0.13,0.03,0.03,84.43,0,98.89,73.76,0.08,0
2.92,10.78,0.38,8.64,0.08,80.05,0,98.94,73.84,3.44,100
2.93,7.63,0.79,29.46,0.31,61.68,0,98.93,73.99,3.92,100
2.94,10.34,0.38,1.61,0.03,87.62,0,98.94,74.03,0.32,0
2.95,9.12,0.77,33.29,0.31,56.41,0,98.99,74.16,6,100
2.96,12.73,0.79,38.95,0.28,47.15,0,98.95,74,0,0
2.97,34.95,0.46,8.4,0.13,55.97,0.12,98.92,74.04,0,0
2.98,9.92,0.92,34.79,0.25,54.01,0.01,98.93,73.98,11.84,100
2.99,6.71,0.81,18.92,0.13,73.33,0,98.91,74.12,3.44,100
3,16.02,1.27,27.28,0.23,55.1,0,98.73,74.2,0,0
3.01,9.99,0.61,37.38,0.2,51.74,4.08,98.89,74.22,0.16,0
3.02,3.95,0.43,6.66,0.08,88.86,4.81,98.91,74.22,0.32,0
3.03,16.78,0.03,0,0,83.2,0,98.89,74.22,0.08,0
3.04,8.78,0.45,7.09,0.08,83.57,0,98.94,74.22,6.72,98.21
3.05,6.7,0.79,33.72,0.31,58.41,0,98.81,74.1,6.48,100
3.06,14.1,0.79,5.45,0.13,79.43,0,98.88,74.44,3.12,100
3.07,10.27,1.56,31.04,0.26,56.82,0,98.7,74.43,5.52,100
3.08,16.49,0.97,31.45,0.23,50.75,0,98.9,74.41,3.2,100
3.09,26.39,0.43,1.41,0.08,71.68,0.1,98.85,74.41,4.16,99.05
3.1,6.73,0.86,40.8,0.2,51.27,0,98.93,74.34,1.04,0
3.11,10.45,0.74,18.48,0.2,70.11,0,99,74.37,0.88,0
3.12,19.57,1.32,5.4,0.1,73.38,0,98.96,74.58,1.6,100
3.13,15.02,0.92,30.67,0.25,53.02,0,99.02,74.58,0,0
3.14,5.51,0.13,1.44,0.05,92.85,0.11,98.84,74.58,0,0
3.15,15.8,0.08,0,0,84.13,0,98.82,74.58,0,0
3.16,9.64,0.68,7,0.1,82.49,0,98.88,74.58,4.64,100
3.17,12.84,1.65,27.23,0.2,57.92,0,98.84,74.53,7.76,99.67
3.18,10.89,0.71,14.14,0.18,73.92,0,98.8,74.39,9.04,100
3.19,10.66,0.72,36.65,0.31,51.54,0,99,74.41,2.64,100
3.2,16.51,0.66,16.71,0.25,65.79,0,98.87,74.39,0.32,0
3.21,20.67,0.35,0.03,0,78.91,0.16,98.76,74.39,0.16,0
